"Befolkningen og dens bevægelser efter bevægelsesart, område og tid"

" "," ","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005"
"Befolkningen ultimo"
" ","København",498850,493771,490587,486593,482937,478615,473000,469706,468704,467850,466723,464773,464566,466129,467253,471300,476751,483658,487969,491082,495699,499148,500531,501285,501664,502362,501158
" ","Frederiksberg",88287,88167,88047,88409,88114,88030,87616,86558,85814,85327,85611,85817,86372,87173,87466,88002,88789,89230,89507,90227,90327,91076,91322,91435,91721,91886,91855
" ","Albertslund",30425,30331,30136,29860,29591,29138,28832,28687,29001,29093,29413,29638,29572,29611,29570,29389,29207,29442,29411,29315,29331,29201,29130,28839,28498,28146,27853
" ","Ballerup",48938,48697,48426,47978,47443,46872,46466,46121,45791,45197,45218,45305,45476,45427,45293,45356,45310,45080,45276,45286,45317,45724,46342,46443,46610,46759,46654
" ","Brøndby",38034,37615,37130,36749,36186,35474,35302,34881,34704,34359,34041,33807,33794,33746,33634,33579,34388,34458,34360,34391,34354,34498,34542,34676,34708,34513,34247
" ","Dragør",12779,12695,12730,12647,12642,12685,12637,12620,12423,12376,12282,12285,12365,12374,12329,12484,12519,12725,12778,12789,12753,12912,13075,13028,13076,13156,13154
" ","Gentofte",67300,66782,66564,66902,67112,66767,66283,66011,65467,65032,65303,65696,66077,65986,66251,66508,66706,66986,67402,67709,67957,68094,68213,68314,68704,68991,68623
" ","Gladsaxe",64954,64213,63733,63251,62845,62470,62049,61430,61424,61198,60882,60624,60604,60775,60956,61369,61487,61459,61611,61783,61867,61896,61914,62006,61993,62007,61735
" ","Glostrup",19573,19645,19548,19552,19542,19696,19559,19901,19896,19749,19747,19844,19923,20237,20274,20263,20181,20178,20104,20102,20229,20278,20412,20586,20793,20785,20699
" ","Herlev",28530,28190,28363,28199,27874,27522,27363,27167,27068,26904,26717,26837,26875,26980,27117,27162,27212,27285,27269,27350,27365,27457,27498,27318,27272,27166,27023
" ","Hvidovre",50608,51059,51284,51047,50583,50350,50063,49760,49332,48987,48748,48809,48754,48735,48623,48675,48730,49087,48958,49171,49270,49454,49674,49829,49952,49863,49762
" ","Høje Taastrup",43292,43294,43789,43810,43675,43398,43402,43764,44266,44521,44382,44430,44746,44975,45307,45325,45341,45424,45522,45910,45948,45892,45947,45754,45556,45553,46257
" ","Ishøj",20483,20856,20505,20497,20213,20390,20758,20618,20586,20422,20575,20604,20735,20920,20920,21077,21052,21041,21200,21031,21023,20943,20987,21023,20750,20668,20820
" ","Ledøje-Smørum",8156,8570,8581,8576,8836,9050,9001,8878,8888,8924,9276,9486,9688,9918,10021,10053,10158,10410,10373,10372,10369,10323,10347,10462,10480,10525,10797
" ","Lyngby-Taarbæk",52013,51703,51522,51034,50696,50225,50047,49828,49601,49419,49317,49488,49612,49334,49482,49578,49860,50317,50196,50474,50609,50853,51102,51344,51507,51611,51908
" ","Rødovre",38020,37673,37318,37182,36869,36356,36220,36135,35787,35561,35350,35317,35336,35478,35421,35490,35607,35549,35839,36004,36317,36561,36591,36619,36391,36312,36506
" ","Søllerød",31920,31705,31585,31508,31484,31422,31436,31429,31253,30865,30758,30614,30609,30474,30637,30825,31007,31225,31326,31274,31362,31391,31498,31494,31633,31691,31920
" ","Tårnby",42075,41517,41214,40915,40577,40400,40113,39717,39829,39904,39719,39829,39772,39593,39485,39291,39172,38986,39030,39304,39402,39507,39522,39466,39535,39582,39708
" ","Vallensbæk",12302,12256,12284,12221,12218,12085,12012,12055,11976,11904,11752,11709,11871,12043,12092,12081,12060,12012,11981,11949,12047,12163,12177,12332,12382,12260,12230
" ","Værløse",17843,17883,17792,17759,17824,17919,17957,17868,17835,17631,17409,17349,17370,17277,17350,17363,17347,17459,17625,17839,17924,17968,18365,18483,18567,18649,18633
" ","Allerød",21290,21310,21229,21170,21160,21318,21275,21253,21431,21397,21410,21654,21690,21581,21747,21844,22159,22423,22661,22911,22943,23079,23070,23374,23425,23458,23498
" ","Birkerød",21988,21680,21625,21600,21551,21567,21477,21311,20966,20784,20671,20609,20641,20514,20456,20471,20781,21115,21142,21215,21186,21311,21531,21696,21715,21930,22321
" ","Farum",16548,16664,16732,16798,16872,16534,16969,16967,16840,16835,16777,16992,17075,17313,17483,17835,17940,18058,18295,18439,18746,18840,18854,18495,18509,18662,18737
" ","Fredensborg-Humlebæk",17320,17667,17716,17862,18063,18123,18279,18517,18536,18712,18707,18769,18732,18746,18953,19010,18939,19141,19247,19273,19461,19613,19734,19946,19978,20024,20025
" ","Frederikssund",15655,15548,15530,15693,15896,16089,16330,16635,16656,16762,16859,16938,17081,17120,17161,17182,17230,17358,17360,17579,17859,18022,18189,18384,18430,18640,19144
" ","Frederiksværk",17141,16980,16936,16947,17236,17400,17551,17651,17693,17862,17941,18131,18312,18581,18721,18936,19175,19531,19788,20199,20121,20217,20326,20316,20324,20340,20691
" ","Græsted-Gilleleje",15158,15328,15306,15528,15930,16190,16469,16846,17044,17384,17571,17887,18194,18439,18749,19034,19514,19869,20281,20612,20520,20621,20773,20890,20996,20936,20843
" ","Helsinge",16698,16882,16887,16957,17075,17257,17189,17308,17363,17363,17432,17626,17712,17880,18089,18038,18139,18273,18371,18577,18689,18726,18910,19234,19398,19473,19517
" ","Helsingør",56566,56280,56163,56246,56161,56388,56628,56618,56607,56754,56701,56632,56794,56701,56785,56855,57421,58102,58645,59092,59492,60131,60546,60569,60927,61295,61340
" ","Hillerød",33686,33509,33424,33438,33278,33503,33585,33628,33597,33434,33388,33578,33786,34333,34691,34764,35212,35291,35627,36065,36453,36936,37167,37169,37180,37291,38102
" ","Hundested",7908,8126,8197,8238,8252,8346,8473,8649,8727,8809,8840,8973,9105,9101,9171,9255,9319,9315,9335,9410,9462,9516,9619,9668,9765,9913,9822
" ","Hørsholm",21585,21572,21627,21808,21992,22390,22959,23410,23275,23204,23176,23143,23171,23101,23178,23377,23568,23485,23386,23469,23648,23689,24038,24208,24246,24292,24317
" ","Jægerspris",7003,7150,7186,7207,7362,7537,7527,7638,7685,7846,7988,8161,8341,8618,8783,8879,8958,9013,9200,9356,9274,9414,9460,9508,9512,9480,9520
" ","Karlebo",17620,18165,18153,18736,18625,18680,18672,18982,19137,18993,18912,18989,18967,19110,19324,19474,19552,19716,19757,19768,19761,19739,19584,19554,19436,19163,19106
" ","Skibby",5365,5419,5390,5378,5447,5505,5649,5760,5793,5831,5886,5829,5992,6025,6088,6106,6249,6331,6368,6429,6519,6533,6546,6543,6684,6783,6892
" ","Skævinge",5060,5078,5002,4894,4896,4894,4908,4952,5041,4946,4969,5102,5093,5135,5113,5176,5209,5192,5285,5340,5402,5482,5594,5692,5886,6046,6225
" ","Slangerup",7578,7592,7518,7486,7562,7640,7709,7704,7724,7665,7776,7854,7885,7919,7931,7972,8108,8183,8171,8251,8406,8603,8785,9028,9172,9237,9435
" ","Stenløse",12340,12264,12374,12448,12553,12618,12639,12712,12645,12576,12588,12530,12518,12535,12594,12577,12617,12685,12813,12867,12951,13133,13252,13328,13257,13384,13470
" ","Ølstykke",12632,12778,12820,12915,12941,12973,12953,13086,13154,13356,13475,13467,13470,13356,13474,13451,13584,13773,14107,14246,14413,14511,14577,14674,14848,15358,15681
" ","Bramsnæs",7138,7105,7081,7131,7201,7395,7550,7658,7747,7800,7868,7985,8083,8168,8357,8419,8508,8650,8902,9004,9006,9072,9163,9221,9263,9391,9437
" ","Greve",40683,41743,42163,42396,42851,43350,44226,44607,45121,45287,45346,45449,45942,46012,46474,46809,46983,47278,47485,47631,47859,48033,48278,48227,47971,47671,47968
" ","Gundsø",10341,10342,10510,10636,10781,11187,11485,11810,12171,12280,12492,12700,12823,13040,13134,13302,13519,13783,13987,14300,14550,14881,15174,15362,15531,15749,15993
" ","Hvalsø",6802,6788,6748,6743,6771,6825,6894,6972,7116,7202,7142,7159,7100,7201,7246,7243,7226,7233,7349,7384,7472,7551,7614,7755,7839,7856,7843
" ","Køge",34511,34677,34936,35135,35102,35518,35854,36265,36104,36211,36821,37325,37471,37869,38088,38235,38535,38618,38749,38737,38820,38983,39284,39533,39686,40053,40535
" ","Lejre",8268,8231,8290,8263,8332,8308,8356,8423,8289,8311,8383,8398,8374,8334,8325,8346,8324,8300,8351,8352,8497,8524,8562,8661,8615,8724,8852
" ","Ramsø",8299,8540,8534,8566,8609,8615,8650,8662,8672,8742,8752,8754,8761,8778,8872,8852,8843,8869,8892,9039,9199,9220,9241,9211,9231,9320,9412
" ","Roskilde",48746,48487,48274,48824,49110,48756,48986,48862,48930,48996,49081,49593,50158,50601,50669,50989,51423,51561,51770,52202,52572,52991,53168,53472,53878,54372,55050
" ","Skovbo",12313,12371,12282,12311,12372,12595,12849,12908,13076,13120,13056,13049,13034,13016,12959,13081,13119,13194,13273,13417,13550,13680,13884,14152,14464,14873,15183
" ","Solrød",16319,16459,16681,16960,17385,17714,18026,18485,18965,18971,18892,18989,19060,19117,19193,19343,19458,19541,19703,19816,19998,20134,20165,20297,20339,20703,20877
" ","Vallø",8597,8503,8476,8449,8545,8723,8749,8824,8973,9073,9131,9210,9323,9265,9387,9433,9582,9656,9741,9912,10036,10143,10287,10260,10272,10337,10373
" ","Bjergsted",7077,7220,7275,7250,7245,7332,7339,7433,7535,7589,7473,7450,7511,7579,7636,7646,7664,7613,7646,7781,7791,7758,7808,7857,7976,8047,7994
" ","Dianalund",6969,7129,7205,7151,7156,7124,7130,7199,7095,7069,7052,6994,6975,7024,7017,7069,7096,7102,7133,7155,7138,7262,7288,7313,7349,7406,7468
" ","Dragsholm",12138,12165,12136,12112,12083,12184,12347,12472,12583,12522,12563,12660,12717,12823,12917,13041,13159,13250,13363,13490,13617,13579,13656,13671,13695,13820,13882
" ","Fuglebjerg",6380,6338,6360,6323,6258,6206,6274,6273,6223,6254,6240,6240,6263,6330,6298,6364,6363,6394,6380,6494,6554,6585,6538,6544,6565,6582,6603
" ","Gørlev",5890,5863,5812,5784,5810,5788,5758,5724,5762,5851,5828,5859,5867,5903,5902,5944,5942,5996,6072,6073,6124,6194,6323,6376,6497,6556,6545
" ","Hashøj",6219,6251,6229,6223,6256,6314,6251,6263,6266,6254,6248,6288,6258,6231,6293,6228,6334,6322,6300,6333,6344,6437,6450,6471,6500,6632,6681
" ","Haslev",13193,13201,13121,13254,13431,13598,13576,13610,13697,13701,13645,13650,13765,13917,13912,13958,14020,13939,14027,14054,14022,14301,14310,14355,14589,14781,14850
" ","Holbæk",29578,29515,29702,29830,29795,30154,30529,30821,30860,31084,31151,31300,31557,31852,32178,32485,32859,32859,33251,33555,33864,33963,34188,34500,34672,35113,35907
" ","Hvidebæk",5415,5473,5426,5387,5412,5400,5431,5514,5465,5473,5505,5497,5485,5442,5427,5435,5512,5518,5451,5513,5489,5446,5454,5470,5434,5492,5557
" ","Høng",7661,7768,7707,7768,7825,7796,7874,7943,7992,7893,7943,8118,8229,8149,8121,8169,8144,8104,8123,8171,8239,8214,8352,8392,8344,8411,8430
" ","Jernløse",5329,5359,5369,5404,5405,5444,5494,5508,5474,5504,5456,5496,5502,5537,5525,5472,5548,5524,5527,5558,5593,5662,5789,5841,5948,5943,6010
" ","Kalundborg",19388,19446,19386,19436,19312,19248,19380,19381,19309,19319,19321,19176,19177,19164,19182,19283,19273,19294,19369,19421,19405,19571,19718,19879,19976,20191,20418
