Kommune,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Aabenraa,60044,60189,60392,59978,59795,59600,59208,58970,58904,58869
Aalborg,194149,195145,196292,197426,199188,201142,203448,205809,207805,210316
Aarhus,296170,298538,302618,306650,310956,314545,319094,323893,326246,330639
Ærø,6794,6712,6698,6679,6663,6636,6527,6393,6276,6290
Albertslund,27608,27602,27706,27730,27800,27864,27824,27728,27806,27880
Allerød,23609,23493,23821,24089,24096,24043,24073,24175,24411,24732
Assens,41816,42054,42128,42054,41635,41443,41325,41037,41046,41224
Ballerup,46914,47116,47398,47652,47930,47994,48211,48514,48355,48224
Billund,26133,26181,26235,26160,26155,26220,26357,26318,26285,26434
Bornholm,43040,42817,42563,42154,41802,41303,40715,40215,39828,39756
Brøndby,33947,33831,33762,33795,34021,34084,34210,34580,35050,35322
Brønderslev,35445,35525,35762,35804,35789,35754,35600,35627,35781,36047
Christiansø,95,96,96,101,94,103,92,90,91,91
Dragør,13184,13261,13411,13564,13717,13692,13917,13977,14028,14142
Egedal,40057,40533,41031,41513,41614,41821,42018,42210,42573,42773
Esbjerg,114148,114244,114595,115114,115184,115112,115051,115095,115446,115748
Faaborg-Midtfyn,51612,51950,52108,52085,51926,51635,51409,51078,50953,51236
Fanø,3170,3192,3207,3219,3213,3251,3237,3264,3263,3290
Favrskov,45037,45604,46248,46529,46894,47117,47156,47163,47523,47655
Faxe,35117,35418,35441,35306,35277,35110,35123,35119,35195,35614
Fredensborg,39303,39240,39254,39226,39341,39565,39462,39585,39772,40112
Fredericia,49260,49463,49690,49849,50104,50193,50374,50324,50429,50689
Frederiksberg,92234,93444,95029,96718,98782,100215,102029,102717,103192,104481
Frederikshavn,62877,62751,62525,62007,61576,61158,60775,60458,60377,60246
Frederikssund,43910,44102,44246,44182,44307,44345,44365,44401,44413,44725
Furesø,37624,37667,37864,38232,38286,38243,38236,38492,39077,40156
Gentofte,68672,68913,69794,71052,71714,72814,73360,74282,74932,75350
Gladsaxe,61945,62562,63233,64102,64951,65303,66030,66656,67347,67914
Glostrup,20618,20673,21008,21296,21384,21650,21869,22066,22357,22461
Greve,47672,47773,47951,47826,47978,47942,47980,48095,48835,49518
Gribskov,40409,40512,40627,40694,40700,40603,40655,40778,40855,41107
Guldborgsund,63540,63496,63211,62912,62583,61913,61322,61007,60829,60979
Haderslev,56275,56414,56508,56346,56117,56188,56051,55906,55888,56029
Halsnæs,30798,30824,31013,31077,31056,30980,30803,30647,30736,31049
Hedensted,44892,45561,45954,45982,45980,46029,45868,45715,46091,46206
Helsingør,61012,60844,61053,61143,61368,61493,61613,61519,61632,62092
Herlev,26743,26567,26635,26556,26597,26608,26958,27706,28148,28423
Herning,83598,84208,85217,85548,85852,86348,86595,86842,86864,87593
