Category,DayOfWeek,PdDistrict,X,Y
ROBBERY,Wednesday,TENDERLOIN,-122.412597377187,37.783932027727296
ROBBERY,Wednesday,INGLESIDE,-122.420272135283,37.7473316298785
ROBBERY,Wednesday,BAYVIEW,-122.39869558968901,37.7547456011189
ROBBERY,Wednesday,INGLESIDE,-122.435041282959,37.72425604704209
ROBBERY,Wednesday,SOUTHERN,-122.395771566799,37.7924309627476
ROBBERY,Wednesday,PARK,-122.445069215681,37.7628549658127
ROBBERY,Wednesday,CENTRAL,-122.41280375299999,37.8057739875696
ROBBERY,Wednesday,NORTHERN,-122.434225174063,37.7911685255545
ROBBERY,Wednesday,NORTHERN,-122.41988857815399,37.790735381704394
ROBBERY,Wednesday,BAYVIEW,-122.40609227069099,37.7323483235069
ROBBERY,Wednesday,NORTHERN,-122.423168378741,37.777815744457705
ROBBERY,Wednesday,NORTHERN,-122.42234814385701,37.777861775969896
KIDNAPPING,Wednesday,SOUTHERN,-122.41966671791701,37.7746823329875
ROBBERY,Wednesday,SOUTHERN,-122.41966671791701,37.7746823329875
ROBBERY,Wednesday,INGLESIDE,-122.426114636941,37.733954127552295
ROBBERY,Wednesday,SOUTHERN,-122.40202770694799,37.7862483456629
ROBBERY,Tuesday,TARAVAL,-122.457441212767,37.7098427794823
ROBBERY,Tuesday,SOUTHERN,-122.405934320038,37.782295644598
ROBBERY,Tuesday,PARK,-122.445652525154,37.7759612670837
ROBBERY,Tuesday,SOUTHERN,-122.411071423064,37.7817511307229
ROBBERY,Tuesday,PARK,-122.43892863119899,37.780587449040105
ROBBERY,Tuesday,SOUTHERN,-122.41133956255699,37.7812707434494
ROBBERY,Tuesday,CENTRAL,-122.39617056066002,37.7954869937274
ROBBERY,Tuesday,MISSION,-122.42895003272699,37.7675027326801
ROBBERY,Monday,TENDERLOIN,-122.416916142188,37.78439444920679
ROBBERY,Monday,SOUTHERN,-122.404270179486,37.78447885387449
ROBBERY,Monday,INGLESIDE,-122.406758995794,37.748767227274605
ROBBERY,Monday,BAYVIEW,-122.381560759234,37.7381241839028
ROBBERY,Monday,TENDERLOIN,-122.413609328985,37.784696907904
